Date,1st Stage Suction Temperature,1st Stage Suction Pressure,1st Stage Discharge Temperature,1st Stage Discharge Pressure,2nd Stage Suction Temperature,2nd Stage Suction Pressure,2nd Stage Discharge Temperature,2nd Stage Discharge Pressure,3rd Stage Suction Temperature,3rd Stage Suction Pressure,3rd Stage Discharge Temperature,3rd Stage Discharge Pressure,4th Stage Suction Temperature,4th Stage Suction Pressure,4th Stage Discharge Temperature,4th Stage Discharge Pressure,5th Stage Suction Temperature,5th Stage Suction Pressure,5th Stage Discharge Temperature,5th Stage Discharge Pressure,1st Stage Discharge Flow,3rd Stage Discharge Flow,5th Stage Discharge Flow,C3 Splitter Purge to 4th Stage Suction,C2 Splitter Purge to 5th Stage Suction,CW Supply Temperature,CW Flow to Olefins,CW Pressure,Compressor Speed,UHP Steam Flow to KT-1,UHP Steam Pressure,UHP Steam Temperature,HP Steam Extraction Flow from KT-1,HP Steam Extraction Pressure,HP Steam Extraction Temperature,E-24 PG Inlet Temperature,E-20 <U+0394>T,E-21 <U+0394>T,E-22 <U+0394>T,E-23 <U+0394>T,Total Power
8/19/2014,31.39591,0.471958,91.89811,2.199996,33.98739,2.261171,93.89585,6.514708,36.97912,6.422757,94.86285,14.0517,38.19601,13.8331,88.67901,23.35126,34.17772,22.01218,94.63193,40.07779,101.6111,103.0288,103.8222,278.4913,757.4546,29.68882,20.12452,4.045742,4630.456,142.7949,105.9111,457.6612,86.43872,46.53314,361.8005,38.4755,57.91072,56.91673,56.66684,50.20351,17.32881
8/20/2014,31.5,0.5,92.24,2.4,34.4,2.31,94.69,6.7,37.6,6.59,95.35,14.4,38.8,14.03,88.83,23.8,34.4,22.31,94.39,40.22,111.65,110.3,111.1,235.2,625.2,29.03019,20.1178,4.044496,4669.7,158.7,105.9,455.4,83.47,46.52,359.94,38.9021,57.84,57.09,56.55,49.9279,18.77736
8/21/2014,31,0.5,91.41,2.4,33.9,2.33,93.41,6.7,37.1,6.6,92.96,14.4,38.4,14.14,88.08,23.7,34,22.28,93.57,40.09,110.01,108.8,109.6,191.9,839,29.58774,20.07163,4.044233,4635.1,157.7,105.9,456.3,83.97,46.95,361.72,38.6709,57.51,56.31,54.56,49.4091,17.26598
8/22/2014,31.5,0.4,91.67,2.3,33.8,2.2,92.7,6.4,36.7,6.29,91.82,13.8,38.2,14.08,88.28,23,33.9,21.67,94.17,39.84,101.1,99.7,101.8,280,920.3,29.16791,20.06411,4.041404,4593.9,154.3,105.9,454.8,87.1,46.87,359.83,38.3037,57.87,56,53.62,49.9763,16.82391
8/23/2014,31.9,0.4,91.99,2.3,34.2,2.19,93.1,6.4,37.2,6.27,92.29,13.8,38.6,13.95,88.76,23,34.4,21.69,94.86,39.98,102.08,100.4,102.6,296.4,912.7,29.22685,20.11955,4.044983,4600.7,153.6,105.9,454.2,86.14,46.5,358.14,38.8274,57.79,55.9,53.69,49.9326,16.98515
8/24/2014,32.5,0.5,92.84,2.4,33.1,2.31,92.8,6.7,37.8,6.6,93.48,14.5,39.7,14.13,89.5,23.9,35.3,22.41,95.2,40.28,109.71,109.5,111.3,202.2,662.7,29.10079,20.15775,4.044725,4651.8,157.2,105.9,455.1,82.78,46.54,359.54,39.87,59.74,55,53.78,49.63,18.33098
8/25/2014,31.4,0.5,90.9,2.4,30.2,2.3,89.41,6.7,36.2,6.61,91.12,14.5,38.6,14.17,87.46,23.8,34.2,22.27,92.9,39.94,109.85,111.6,112.3,131.8,758.4,29.03019,20.1178,4.044496,4609.2,158.3,105.9,454.9,84.09,46.54,359.48,39.08,60.7,53.21,52.52,48.38,18.06967
8/26/2014,31.4,0.5,90.74,2.4,29.7,2.29,88.61,6.7,35.9,6.6,90.79,14.4,38.3,14.29,87.23,23.8,34.2,22.32,92.92,40.02,108.18,110,110.9,115.9,640,29.58774,20.07163,4.044233,4596.2,157.2,105.9,456.3,84.33,46.54,360.59,38.84,61.04,52.71,52.49,48.39,17.78761
8/27/2014,30.9,0.4,91.16,2.2,29.6,2.13,88.7,6.3,35.4,6.18,90.88,13.6,37.2,14.07,87.64,22.8,33.2,21.54,94.11,39.95,95.57,97.5,99.4,278.3,1134.4,29.16791,20.06411,4.041404,4589.8,149.8,105.9,459.4,85.45,46.55,363.02,37.58,61.56,53.3,53.68,50.06,16.16973
8/28/2014,31.2,0.4,92.35,2.2,31.4,2.13,91.33,6.2,36.3,6.15,92.57,13.6,37.7,13.8,88.71,22.7,33.5,21.47,94.87,39.87,95.05,96.9,99.8,283.5,1161,29.22685,20.11955,4.044983,4634.7,148.6,105.9,461.1,83.71,46.55,365.22,37.87,60.95,55.03,54.87,50.84,16.35659
8/29/2014,31.9,0.4,91.68,2.2,30.5,2.17,89.73,6.4,36.4,6.32,91.95,13.9,38.5,13.79,88.18,23.1,34.3,21.73,94.11,39.83,101.81,102.5,104.7,289.4,998.3,29.10079,20.15775,4.044725,4598.8,152.1,105.9,460.4,83.54,46.83,364.69,38.96,61.18,53.33,53.45,49.22,16.98968
8/30/2014,31.8,0.4,91.41,2.1,30.2,2.09,89.18,6.3,36,6.18,91.62,13.7,38.1,13.68,88.16,22.9,34.3,21.59,94.87,40.03,99.86,101.1,103,300,835.3,29.31506,19.97137,4.029429,4594.9,150.6,105.9,461.1,83.41,46.58,364.45,38.71,61.21,53.18,53.52,49.45,16.74127
8/31/2014,31.4,0.4,88.35,2.1,32,2.09,90.46,6.2,35.7,6.09,91.24,13.5,37.3,13.56,87.45,22.6,33.4,21.34,94.13,39.83,97.15,96.7,98.5,300,1026.2,29.50831,19.9723,4.030537,4561.2,147.8,105.9,461.3,83.45,46.56,365.21,37.92,56.35,54.76,53.94,49.53,15.22447
9/1/2014,31,0.4,87.68,2,33,2.02,90.61,5.9,35.4,5.86,90.12,12.9,36.3,13.44,87.36,21.9,32.5,20.76,94.25,39.61,88.36,90,88.4,300,1421.7,29.57485,19.96075,4.031629,4517.2,144.1,105.9,461.9,85.27,46.55,366.71,36.86,54.68,55.21,53.82,50.5,14.84538
9/3/2014,32,0.4,89.57,2.3,34.3,2.23,94.11,6.5,37.7,6.44,94.21,14.2,39,13.79,89.02,23.5,34.5,22.07,95.06,40.1,111.48,110.6,111.5,272.3,888.7,29.74495,20.01677,4.052129,4668.4,148.6,105.9,453.5,83.41,46.53,358.25,39.32,55.27,56.41,55.21,49.7,17.91041
9/4/2014,32.4,0.4,89.74,2.2,34.4,2.2,94.18,6.5,37.9,6.41,94.4,14.2,39.3,13.95,89.25,23.5,34.7,22.02,95.24,40.14,111.7,112.4,111.8,277.6,831.3,29.6153,20.00578,4.053413,4662.6,152.1,105.9,452.9,82.73,46.51,357.62,39.2,55.34,56.28,55.1,50.05,17.97623
